BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330094001,North Beacon Hill,Residential Urban Village,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330094002,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330094003,North Rainier,Hub Urban Village,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330094004,North Beacon Hill,Residential Urban Village,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330094005,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330095001,Outside Villages,Outside Villages,"Mt. Baker, North Rainier, Atlantic",4,Southeast
530330095002,North Rainier,Hub Urban Village,"Mt. Baker, North Rainier, Atlantic",4,Southeast
530330095003,Outside Villages,Outside Villages,"Mt. Baker, North Rainier, Atlantic",4,Southeast
530330095004,North Rainier,Hub Urban Village,"Mt. Baker, North Rainier, Atlantic",4,Southeast
530330096001,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330096002,Admiral,Residential Urban Village,"Alki, Admiral",1,Southwest
530330096003,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330096004,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330096005,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330097011,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330097012,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330097013,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330097014,Outside Villages,Outside Villages,"Alki, Admiral",1,Southwest
530330097021,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330097022,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330097023,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330097024,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330097025,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330098001,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330098002,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330098003,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330098004,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330098005,Outside Villages,Outside Villages,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,Southwest
530330099001,Outside Villages,Outside Villages,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods
530330099002,Outside Villages,Outside Villages,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods
530330099003,Outside Villages,Outside Villages,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods
530330099004,Greater Duwamish,Manufacturing Industrial,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods
530330100011,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330100012,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330100013,Columbia City,Residential Urban Village,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330100021,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330100022,North Beacon Hill,Residential Urban Village,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330100023,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330100024,Outside Villages,Outside Villages,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330101001,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330101002,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330101003,Columbia City,Residential Urban Village,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330101004,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330101005,Outside Villages,Outside Villages,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330102001,Outside Villages,Outside Villages,"Seward Park, Hillman City",4,Southeast
